No.,Government Name,Website URL,Government Type,ID
1,The National Park Service,https://www.nps.gov/index.htm,General Public Services,1
2,The National Aeronautics and Space Administration,https://www.nasa.gov/,General Public Services,2
3,The World Factbook - CIA,https://www.cia.gov/the-world-factbook/,General Public Services,3
4,National Gallery of Art,https://www.nga.gov/,"Recreation, Culture, and Religion",4
5,The Texas Department of Motor Vehicles,https://www.txdmv.gov/,General Public Services,5
6,California State Parks,https://www.parks.ca.gov/,General Public Services,6
7,Texas Parks and Wildlife,https://tpwd.texas.gov/,Economic Affairs,7
8,Texas Health and Human Services,https://www.hhs.texas.gov/services/health,Health,8
9,Food Assistance,https://www.usa.gov/food-help,Social Protection,9
10,Travel State Gov,https://travel.state.gov/content/travel.html,"Recreation, Culture, and Religion",10
11,U.S. Food and Drug Administration,https://www.fda.gov/,Health,11
12,Centers for Disease Control and Prevention,https://www.cdc.gov/,Health,12
13,U.S. Environmental Protection Agency,https://www.epa.gov/,Environmental Protection,13
14,Federal Communications Commission,https://www.fcc.gov/,Economic Affairs,14
15,The United States Social Security Administration,https://www.ssa.gov/,General Public Services,15
16,US Department of Labor,https://www.dol.gov/,Economic Affairs,16
17,Department of Transportation,https://www.transportation.gov/,General Public Services,17
18,U.S. Fish and Wildlife Service,https://www.fws.gov/,Environmental Protection,18
19,U.S. Securities and Exchange Commission,https://www.investor.gov/,Economic Affairs,19
20,Homeland Security,https://www.dhs.gov/,Defence,20
21,The Alcohol and Tobacco Tax and Trade Bureau,https://www.ttb.gov/,Economic Affairs,21
22,The Usability Government Website,https://www.usability.gov/,Social Protection,22
23,The Texas Department of Public Safety,https://www.dps.texas.gov/,Public Order and Safety,23
24,Texas Workforce Commission,https://www.twc.texas.gov/,Social Protection,24
25,The Recreation Government Website,https://www.recreation.gov/,"Recreation, Culture, and Religion",25
26,Federal Emergency Management Agency,https://www.fema.gov/,Public Order and Safety,26
27,National Library of Medicine - National Institutes of Health,https://www.nlm.nih.gov/,Health,27
28,Texas Department of State Health Services Mobile,https://dshs.texas.gov/,Health,28
29,Substance Abuse and Mental Health Services Administration,https://www.samhsa.gov/,Health,29
30,National Institute on Aging,https://www.nia.nih.gov/,Health,30
31,Department of the Treasury,https://home.treasury.gov/,Economic Affairs,31
32,Vaccines website,https://www.vaccines.gov/,Health,32
33,The home of the U.S. Government's open data,https://www.data.gov/,Social Protection,33
34,U.S. General Services Administration,https://www.gsa.gov/,General Public Services,34
35,Internal Revenue Service,https://www.irs.gov/,Economic Affairs,35
36,U.S. Congress legislation,https://www.congress.gov/,General Public Services,36
37,U.S. House of Representatives,https://www.house.gov/,General Public Services,37
38,United States Senate,https://www.senate.gov/,General Public Services,38
39,Office of International Affairs,https://www.doi.gov/intl,General Public Services,39
40,U.S. Department of Agriculture,https://www.usda.gov/,"Recreation, Culture, and Religion",40
41,Bureau of Ocean Energy Management,https://www.boem.gov/,Economic Affairs,41
42,National Weather Service,https://www.weather.gov/,Public Order and Safety,42
43,U.S. Wind Turbine Database,https://eerscmap.usgs.gov/uswtdb/,Economic Affairs,43
44,U.S. Energy Information Administration,https://www.eia.gov/,Economic Affairs,44
45,U.S. Department of State,https://www.state.gov/,General Public Services,45
46,Benefits website of the U.S. government,https://www.benefits.gov/,General Public Services,46
47,Texas Attorney General,https://www.texasattorneygeneral.gov/,General Public Services,47
48,"Official City of Plano, TX",https://www.plano.gov/,General Public Services,48
49,The Federal Government's official employment site,https://www.usajobs.gov/,Economic Affairs,49
50,United States Botanic Garden,https://www.usbg.gov/,"Recreation, Culture, and Religion",50
51,Bureau of Transportation Statistics,https://www.bts.gov/,Public Order and Safety,51
52,Centers for Medicare & Medicaid Services,https://www.cms.gov/,Health,52
53,Department of Homeland Security Seal,https://www.uscis.gov/,Defence,53
54,U.S. Department of Education,https://www.ed.gov/,Education,54
55,Freedom of Information Act,https://www.foia.gov/,Social Protection,55
56,Health Insurance Marketplace,https://www.healthcare.gov/,Health,56
57,National Endowment for the Arts,https://www.arts.gov/,"Recreation, Culture, and Religion",57
58,Obama White House Archives,https://obamawhitehouse.archives.gov/,General Public Services,58
59,National Security Agency/Central Security Service,https://www.nsa.gov/,Defence,59
60,The official website of State of Texas,https://www.texas.gov/,General Public Services,60
61,Library of Congress,https://www.loc.gov/,General Public Services,61
62,Federal Trade Commission,https://www.ftc.gov/,Economic Affairs,62
63,Department of Energy,https://www.energy.gov/,Economic Affairs,63
64,Cybersecurity and Infrastructure Security Agency,https://www.cisa.gov/cybersecurity,Defence,64
